User Input,Chatbot Response,Timestamp
Story mode,Shadow fight 2,2024-12-09 09:15:12
Story mode,COD,2024-12-09 09:15:17
Best online game,Please select the type of game,2024-12-09 09:15:34
hi,Hi there,2024-12-09 09:18:21
hi,Nothing much,2024-12-09 10:03:27
hi,Hey,2024-12-09 10:03:40
hi,Hello,2024-12-09 10:03:42
thanks,No problem,2024-12-09 10:03:50
game,COD,2024-12-09 12:05:27
game,Shadow fight 2,2024-12-09 12:05:30
best online game,"PC games- GTA V,fortnite,valorant",2024-12-09 12:05:35
best online game,"PC games- GTA V,fortnite,valorant",2024-12-09 12:05:39
best online games,Marvel contest of champions,2024-12-09 12:05:41
best online games,Pokemon unite,2024-12-09 12:05:43
best online games,Mortal combat,2024-12-09 12:05:44
best online games,Pokemon unite,2024-12-09 12:05:45
best online games,Pokemon unite,2024-12-09 12:05:46
best online games,COD,2024-12-09 12:05:47
best online games,Pokemon unite,2024-12-09 12:05:48
best online games,Shadow fight 2,2024-12-09 12:05:49
best online games,Shadow fight 2,2024-12-09 12:05:50
best online games,Free fire,2024-12-09 12:05:50
best online games,Shadow fight 2,2024-12-09 12:05:51
best online games,COD,2024-12-09 12:05:52
best online games,Marvel contest of champions,2024-12-09 12:05:52
best online games,Shadow fight 2,2024-12-09 12:05:53
best online game,"PC games- GTA V,fortnite,valorant",2024-12-09 12:05:56
best online game,"Mobile Games-BGMI,FreeFire,COD",2024-12-09 12:05:59
hi,Nothing much,2024-12-09 19:09:51
how are you,"I'm fine, thank you",2024-12-09 19:10:04
can you tell me about game,Shadow fight 2,2024-12-09 19:10:17
can you tell me about games,PUBG,2024-12-09 19:10:19
which is the best game,"PC games- GTA V,fortnite,valorant",2024-12-09 19:10:29
which is the best game for esports,"Mobile Games-BGMI,FreeFire,COD",2024-12-09 19:10:35
which is the best game for esports,"Mobile Games-BGMI,FreeFire,COD",2024-12-09 19:10:41
which is the best game for esports,"Mobile Games-BGMI,FreeFire,COD",2024-12-09 19:10:44
which is the best game for esports,"PC games- GTA V,fortnite,valorant",2024-12-09 19:10:48
game updates,Mortal combat,2024-12-09 19:11:08
game updates,Shadow fight 2,2024-12-09 19:11:15
competitive gaming,COD,2024-12-09 19:11:31
upcoming esports tournament,"Some top tournaments are The International (Dota 2), League of Legends World Championship, CS:GO Major, Valorant Champions Tour,Bmps(bgmi),Grand challenge 2025 III(Pokemon SV).",2024-12-09 19:11:58
best rpg games,"For FPS: CS:GO, Valorant, Overwatch. For RPG: The Witcher 3, Genshin Impact. For multiplayer: Fortnite, Apex Legends. For single-player: Red Dead Redemption 2, The Last of Us.",2024-12-09 19:12:14
famous games in esports,"Some popular esports games are Dota 2, League of Legends, CS:GO, Valorant, Overwatch, and Rocket League,Bgmi.",2024-12-09 19:12:33
games for mobile,"For PC: CS:GO, Valorant, Dota 2. For PlayStation: FIFA, Call of Duty, Gran Turismo. For Xbox: Halo, Forza Horizon, Gears of War. For mobile: PUBG Mobile, Clash Royale, Brawl Stars",2024-12-09 19:12:49
recomended games for nintendo switch,"For PC: CS:GO, Valorant, Dota 2. For PlayStation: FIFA, Call of Duty, Gran Turismo. For Xbox: Halo, Forza Horizon, Gears of War. For mobile: PUBG Mobile, Clash Royale, Brawl Stars",2024-12-09 19:13:36
recomended games for nintendo switch,"For PC: CS:GO, Valorant, Dota 2. For PlayStation: FIFA, Call of Duty, Gran Turismo. For Xbox: Halo, Forza Horizon, Gears of War. For mobile: PUBG Mobile, Clash Royale, Brawl Stars",2024-12-09 19:13:40
Recommend games for Nintendo Switch,For nintendo switch: Pokemon scarlet & Violet.,2024-12-09 19:13:59
Tips for esports ,COD,2024-12-09 19:14:25
Tips for rpg games,"For FPS: Practice aiming, learn map layouts. For battle royale: Stay in the circle, loot wisely. For RPG: Focus on character builds, explore side quests.",2024-12-09 19:14:35
chill mobile games,"Casual games to try: Stardew Valley, Animal Crossing, Among Us, Candy Crush.",2024-12-09 19:14:52
esports carrer tips,Shadow fight 2,2024-12-09 19:15:17
esports career tips,"To start competitive gaming, choose a game youâ€™re passionate about, practice consistently, and join community tournaments.",2024-12-09 19:15:27
Games to play when happy,When happy: Rocket League. Relaxing evening: Stardew Valley. Feeling adventurous: Zelda: Breath of the Wild. When bored: Among Us.,2024-12-09 19:15:46
bye thankyou,Catch you later,2024-12-09 19:16:01
